Rank,Name,Symbol,marketcap,price (SGD),country,ticker,cik
299,Mobileye,MBLY,8175211392.7148,9.7164140224457,Israel,MBLY,0001910139
300,ZOZO,3092.T,8133505956.5272,9.1974115754128,Japan,,
301,TeraWulf,WULF,7963976889.8291,18.779946470261,United States,WULF,0001083301
302,Descartes Systems Group,DSGX,7923334904.2749,92.145913219452,Canada,,
303,Technology One,TNE.AX,7803228007.5357,23.836194225788,Australia,,
304,DigitalOcean,DOCN,7798711148.7744,84.772191905975,United States,DOCN,0001582961
305,Topicus,TOI.V,7790248025.425,93.476767503738,Canada,,
306,UiPath,PATH,7783505552.2632,14.555418634415,United States,PATH,0001375200
306,UiPath,PATH,7783505552.2632,14.555418634415,United States,PATH,0001734722
307,CLEAR Secure,YOU,7725297723.9355,57.363967370987,United States,YOU,0001856314
308,Paylocity,PCTY,7694088202.6855,141.48327770233,United States,PCTY,0001005972
308,Paylocity,PCTY,7694088202.6855,141.48327770233,United States,PCTY,0001591698
309,Compass,COMP,7687363368.8477,10.356493997574,United States,COMP,0001563190
310,NEXTDC,NXT.AX,7630642304.2045,11.891060134745,Australia,,
311,OpenText,OTEX,7605055597.5,29.891734838486,Canada,,
312,Monotaro,3064.T,7561868675.7274,15.217901408672,Japan,,
313,Delivery Hero,DHER.F,7527734712.2814,25.082685969353,Germany,,
314,Klaviyo,KVYO,7518376028.7158,24.66868224144,United States,KVYO,0001835830
315,Global-e,GLBE,7502558249.4751,44.203923082352,Israel,,
316,OneStream,OS,7427246009.4678,30.21177482605,United States,OS,0000830260
316,OneStream,OS,7427246009.4678,30.21177482605,United States,OS,0001889956
317,eMemory Technology,3529.TWO,7412192507.4801,99.243376015663,Taiwan,,
318,"ASMPT
 (ASM Pacific Technology)",0522.HK,7391548066.9296,17.693218688488,Hong Kong,,
319,Allegro MicroSystems,ALGM,7391212435.874,39.889784049988,United States,ALGM,0000866291
319,Allegro MicroSystems,ALGM,7391212435.874,39.889784049988,United States,ALGM,0001097149
320,Enphase Energy,ENPH,7149449415.8667,54.53481388092,United States,ENPH,0001463101
321,Cipher Mining,CIFR,7110247436.1548,17.550992918015,United States,CIFR,0001819989
322,Klarna,KLAR,7060682264.6484,18.715938472748,Sweden,KLAR,0002003292
323,Riot Platforms,RIOT,7037455370.2319,18.562319278717,United States,RIOT,0001167419
324,United Internet,UTDI.F,7001118353.9244,39.873654034615,Germany,,
325,Elastic NV,ESTC,6974021703.6792,66.184269428253,United States,ESTC,0001707753
326,Hims &amp; Hers Health,HIMS,6956466347.9761,30.519013214111,United States,HIMS,0001773751
327,Perfect World Entertainment,002624.SZ,6939886173.3175,3.5773173697948,China,,
328,Hut 8,HUT,6890420745.4736,62.138963985443,Canada,HUT,0001964789
329,Galaxycore,688728.SS,6881898780.8523,2.6462826411724,China,,
330,Rigetti Computing,RGTI,6833057781.748,20.57217040062,United States,RGTI,0001838359
331,Pony AI,PONY,6820981264.8413,15.733165788651,China,,
332,Kakao Pay,377300.KS,6751815280.1411,49.930462587833,South Korea,,
333,Lyft,LYFT,6620509117.8638,16.57807135582,United States,LYFT,0001759509
334,Etsy,ETSY,6569429220.1392,66.555515813828,United States,ETSY,0001370637
335,Core Scientific,CORZ,6555701645.1001,20.789797592163,United States,CORZ,0001839341
336,Wix.com,WIX,6487957137.207,111.25870127678,Israel,,
337,JFrog,FROG,6415208985.8911,53.625900316238,United States,FROG,0001800667
338,Sensata Technologies,ST,6398250082.312,43.883883094788,United States,ST,0000093444
338,Sensata Technologies,ST,6398250082.312,43.883883094788,United States,ST,0000714603
338,Sensata Technologies,ST,6398250082.312,43.883883094788,United States,ST,0001477294
339,Fermi Inc.,FRMI,6367011066.1768,10.369295597076,United States,FRMI,0002071778
340,SmartSens Technology,688213.SS,6336876966.3358,15.751344059944,China,,
341,Entain,ENT.L,6187023517.6981,9.6732086241245,Isle of Man,,
342,Waystar,WAY,6038878501.4014,31.504736375809,United States,WAY,0001990354
343,SentinelOne,S,5995494146.9604,17.640604114532,United States,S,0000101830
343,SentinelOne,S,5995494146.9604,17.640604114532,United States,S,0000319256
343,SentinelOne,S,5995494146.9604,17.640604114532,United States,S,0001028954
343,SentinelOne,S,5995494146.9604,17.640604114532,United States,S,0001043337
343,SentinelOne,S,5995494146.9604,17.640604114532,United States,S,0001583708
344,Sectra AB,SECT-B.ST,5986476546.6516,31.071530248642,Sweden,,
345,Ondas Holdings,ONDS,5952040971.1206,13.224052286148,United States,ONDS,0001646188
346,Lumine Group,LMN.V,5885720382.5799,22.935473684788,Canada,,
347,Doximity,DOCS,5851901247.5903,31.082283592224,United States,DOCS,0001516513
348,Presight AI,PRESIGHT.AE,5747916319.1389,1.0241279602051,United Arab Emirates,,
349,CyberAgent,4751.T,5738233851.1179,11.322054640055,Japan,,
350,Zeta Global,ZETA,5682361369.9414,23.106887102127,United States,ZETA,0001851003
351,Trend Micro,4704.T,5648502345.1678,43.223832624435,Japan,,
352,Bestechnic,688608.SS,5589241429.1016,33.13245975256,China,,
353,MakeMyTrip,MMYT,5545730574.375,58.285682535172,India,,
354,Kingsoft,3888.HK,5427638975.8383,3.9539916335583,China,,
355,Hisense Visual Technology,600060.SS,5412805799.6193,4.1478334532261,China,,
356,ACI Worldwide,ACIW,5335512334.1467,51.756866788864,United States,ACIW,0000935036
357,Aixtron,AIXA.F,5331277941.3983,47.26901005125,Germany,,
358,WIN Semiconductors,3105.TWO,5310056461.0693,12.525481802893,Taiwan,,
359,Silicon Motion,SIMO,5225329929.9084,153.76001162529,Hong Kong,,
360,TOTVS,TOTS3.SA,5193574237.3768,8.8378914549828,Brazil,,
361,Lemonade,LMND,5171743950.1001,67.707659769058,United States,LMND,0001170848
361,Lemonade,LMND,5171743950.1001,67.707659769058,United States,LMND,0001691421
362,Nikon,NINOY,5136710908.5583,15.605149793625,Japan,,
363,GitLab,GTLB,4968239073.4766,29.21325006485,United States,GTLB,0001653482
364,Hesai Group,HSAI,4896408868.5339,31.15909318924,China,,
365,monday.com,MNDY,4855847502.3328,94.194169139862,Israel,,
366,Asseco,ACP.WA,4837365202.0121,60.083795201302,Poland,,
367,Netskope,NTSK,4807797057.0447,12.225527524948,United States,NTSK,0002063196
368,CCC Intelligent Solutions,CCC,4757727523.0005,7.4249277114868,United States,CCC,0000812701
368,CCC Intelligent Solutions,CCC,4757727523.0005,7.4249277114868,United States,CCC,0001744895
368,CCC Intelligent Solutions,CCC,4757727523.0005,7.4249277114868,United States,CCC,0001764046
368,CCC Intelligent Solutions,CCC,4757727523.0005,7.4249277114868,United States,CCC,0001818201
369,Fastly,FSLY,4706630911.5076,31.005473995209,United States,FSLY,0001517413
370,Espressif Systems (Shanghai),688018.SS,4690518671.1552,28.062898333549,China,,
371,Vend Marketplaces,VENDA.OL,4657273159.1973,45.630789362907,Norway,,
372,Cellebrite,CLBT,4639761418.5437,18.600724077225,Israel,,
373,IONOS Group,IOS.DE,4622440530.5363,33.375050063133,Germany,,
374,Sega Sammy Holdings,6460.T,4568984200.207,21.728410867691,Japan,,
375,Mercari,4385.T,4568196661.1676,27.704709579468,Japan,,
376,Commvault,CVLT,4563807173.2007,103.50093197823,United States,CVLT,0001169561
377,"Box, Inc.",BOX,4528857045.0586,31.619950771332,United States,BOX,0001372612
377,"Box, Inc.",BOX,4528857045.0586,31.619950771332,United States,BOX,0001487999
377,"Box, Inc.",BOX,4528857045.0586,31.619950771332,United States,BOX,0001816937
378,nLIGHT,LASR,4483147182.7759,80.355640077591,United States,LASR,0001124796
379,Workiva,WK,4464395973.3362,78.550614547729,United States,WK,0001262823
379,Workiva,WK,4464395973.3362,78.550614547729,United States,WK,0001445305
380,Qualys,QLYS,4452264727.0312,124.16271357536,United States,QLYS,0001107843
381,VisEra Technologies,6789.TW,4403402839.5571,13.826111510754,Taiwan,,
382,Sumco Corporation,3436.T,4401902547.1423,12.587211115694,Japan,,
383,dLocal,DLO,4357796542.2144,14.785847425461,Uruguay,,
384,Silergy,6415.TW,4345787549.9045,11.204907203007,China,,
385,GoTo,GOTO.JK,4319425778.0391,0.0040810347070217,Indonesia,,
386,MARA Holdings,MARA,4264027713.8989,11.214201164246,United States,MARA,0001507605
387,Kulicke and Soffa Industries,KLIC,4246757147.699,81.14933924675,Singapore,KLIC,0000056978
388,Life360,LIF,4230909218.1311,52.755391550064,United States,LIF,0001581760
389,Calix,CALX,4222709967.7515,63.713560724258,United States,CALX,0001406666
390,NCR Atleos Corporation,NATL,4192129998.4412,56.723887395859,United States,NATL,0001301106
390,NCR Atleos Corporation,NATL,4192129998.4412,56.723887395859,United States,NATL,0001974138
391,Remitly,RELY,4187995143.2495,19.880884027481,United States,RELY,0000038984
391,Remitly,RELY,4187995143.2495,19.880884027481,United States,RELY,0001782170
392,RingCentral,RNG,4171913876.3672,48.722887706757,United States,RNG,0001384905
393,Jubilant FoodWorks,JUBLFOOD.NS,4156435214.0576,6.3198424360275,India,,
394,SoundHound AI,SOUN,4043285370.8911,9.5627948284149,United States,SOUN,0001840856
395,JOYY,JOYY,4025383941.8677,78.371392154694,China,,
396,Rorze Corporation,6323.T,3984304098.0851,22.97349443531,Japan,,
397,Q2,QTWO,3894519396.3684,62.407797574997,United States,QTWO,0001410384
398,Softcat,SCT.L,3862897675.1359,19.680154947281,United Kingdom,,
399,Nordic Semiconductor,NOD.OL,3827252998.7731,19.345521136284,Norway,,
400,ACM Research,ACMR,3809100570.0684,57.952840948105,United States,ACMR,0001042809
400,ACM Research,ACMR,3809100570.0684,57.952840948105,United States,ACMR,0001680062
401,NCsoft,036570.KS,3801743316.7325,196.03345350266,South Korea,,
402,Synaptics,SYNA,3711570160.7202,95.192693901062,United States,SYNA,0000817720
403,Dave Inc.,DAVE,3694747261.3342,272.48204541206,United States,DAVE,0001021270
403,Dave Inc.,DAVE,3694747261.3342,272.48204541206,United States,DAVE,0001841408
404,Tata Elxsi,TATAELXSI.NS,3671218651.1397,58.931267198086,India,,
405,Varonis Systems,VRNS,3649425092.9321,30.954267597198,United States,VRNS,0001361113
406,Sopra Steria Group,SOP.PA,3641310938.6249,187.60616055012,France,,
407,Webull,BULL,3544832297.1704,6.7720461368561,United States,BULL,0000319697
408,Impinj,PI,3534985265.8679,116.92980985641,United States,PI,0001114995
409,Kinaxis,KXS.TO,3524628788.5124,127.46744648695,Canada,,
410,Metaplanet Inc.,3350.T,3495883494.5166,2.996188760376,Japan,,
411,Rasan Information Technology Company,8313.SR,3493095307.4251,45.06815906477,Saudi Arabia,,
412,Elmos Semiconductor,ELG.DE,3478091830.2478,202.89639099598,Germany,,
413,Pearl Abyss,263750.KQ,3467165065.9575,56.450701262474,South Korea,,
414,Diebold Nixdorf,DBD,3360569883.6865,93.694906759262,United States,DBD,0000028823
415,Axcelis Technologies,ACLS,3349703312.5171,109.04402456284,United States,ACLS,0001113232
416,Power Integrations,POWI,3293352678.7976,59.335413694382,United States,POWI,0000833640
417,Acer,2353.TW,3290230641.353,1.0944791502714,Taiwan,,
418,UCT (Ultra Clean Holdings),UCTT,3264627610.0488,71.765766811371,United States,UCTT,0001275014
419,Upstart,UPST,3233758918.584,32.976920318604,United States,UPST,0000890846
419,Upstart,UPST,3233758918.584,32.976920318604,United States,UPST,0001271075
419,Upstart,UPST,3233758918.584,32.976920318604,United States,UPST,0001647639
420,TietoEVRY,TIETO.HE,3229874923.5362,27.4645515728,Finland,,
421,eToro,ETOR,3212491795.4321,38.379195308685,Israel,,
422,Exail Technologies,EXA.PA,3194049570.5187,188.19375396729,France,,
423,Teradata,TDC,3192760044.9182,34.25708026886,United States,TDC,0000816761
424,Melexis NV,MELE.BR,3163489884.0626,79.247277592659,Belgium,,
425,Comet Holding,COTN.SW,3150637096.0843,405.28071801186,Switzerland,,
426,CleanSpark,CLSK,3126714442.4158,12.225527524948,United States,CLSK,0000827876
427,LifeStance Health Group,LFST,3101850254.1467,8.1034124851227,United States,LFST,0001440048
427,LifeStance Health Group,LFST,3101850254.1467,8.1034124851227,United States,LFST,0001845257
428,Tenable,TENB,3099901297.6733,25.974445390701,United States,TENB,0001660280
429,Weibo,WB,3061763755.5981,12.417551517487,China,WB,0000036995
430,Soitec,SOI.PA,3022955110.1516,84.716632964134,France,,
431,WeRide,WRD,2989745111.1108,8.7306908607483,China,WRD,0001681714
432,Vishay Intertechnology,VSH,2981327598.5803,21.954743146896,United States,VSH,0000103730
433,Navitas Semiconductor,NVTS,2948607283.7634,12.775996303558,Ireland,NVTS,0001821769
434,SPS Commerce,SPSC,2930453509.6106,77.712109780312,United States,SPSC,0001092699
434,SPS Commerce,SPSC,2930453509.6106,77.712109780312,United States,SPSC,0001229195
435,NextNav,NN,2923891553.0835,21.685909557343,United States,NN,0000918541
435,NextNav,NN,2923891553.0835,21.685909557343,United States,NN,0001865631
436,Braze,BRZE,2916990405.376,23.785371875763,United States,BRZE,0001676238
437,CSG International,CSGS,2913197690.8533,102.14396243095,United States,CSGS,0001005757
438,Freshworks,FRSH,2891721154.0161,10.177271604538,United States,FRSH,0001135431
438,Freshworks,FRSH,2891721154.0161,10.177271604538,United States,FRSH,0001544522
438,Freshworks,FRSH,2891721154.0161,10.177271604538,United States,FRSH,0001592379
439,AvePoint,AVPT,2889520835.5762,13.390473079681,United States,AVPT,0001777921
440,Ambarella,AMBA,2888945357.5928,67.105984592438,United States,AMBA,0001280263
441,Grindr,GRND,2884517519.8743,15.57954659462,United States,GRND,0000040518
441,Grindr,GRND,2884517519.8743,15.57954659462,United States,GRND,0001820144
442,AT&amp;S Austria Technologie &amp; Systemtechnik,ATS.VI,2861702063.7451,73.660275521755,Austria,,
443,Ocado,OCDO.L,2858505464.6644,3.4389064759731,United Kingdom,,
444,Autohome,ATHM,2851704132.3083,24.002999067307,China,,
445,Navan,NAVN,2826541062.5354,11.367820358276,United States,NAVN,0001639723
446,Vertex,VERX,2813545288.3716,17.589397716522,United States,VERX,0001806837
447,VusionGroup,VU.PA,2803573844.7243,167.46284373283,France,,
448,EverCommerce,EVCM,2796393029.4336,15.425927400589,United States,EVCM,0001853145
449,NETSCOUT,NTCT,2779155235.3284,38.481608104706,United States,NTCT,0001078075
450,Blackbaud,BLKB,2734772970.603,57.171943378448,United States,BLKB,0001280058
451,BlackLine,BL,2708990835.9607,45.496884632111,United States,BL,0000071525
451,BlackLine,BL,2708990835.9607,45.496884632111,United States,BL,0001666134
452,Lufax,LU,2707623911.8896,2.8547566890717,China,LU,0001006240
453,Sino-American Silicon Products,5483.TWO,2617516219.4168,4.2618701015949,Taiwan,,
454,iFAST Corporation,AIY.SI,2593465600.0,8.54,Singapore,,
455,Intapp,INTA,2585267329.9023,31.555942773819,United States,INTA,0001565687
456,BlackBerry,BB,2583752603.6841,4.3781470298767,Canada,BB,0001070235
457,ePlus,PLUS,2578726019.7949,97.535386610031,United States,PLUS,0001022408
458,Globant,GLOB,2550781746.203,57.901634550095,Luxembourg,GLOB,0001009463
458,Globant,GLOB,2550781746.203,57.901634550095,Luxembourg,GLOB,0001398005
459,Agilysys,AGYS,2517014526.8201,89.547188520432,United States,AGYS,0000078749
460,Photronics,PLAB,2497470396.5485,42.283683156967,United States,PLAB,0000810136
461,KPIT Technologies,KPITTECH.NS,2479851893.1153,9.103729470253,India,,
462,Socionext,6526.T,2476110899.6149,14.129509418964,Japan,,
463,SoftwareONE,SWON.SW,2475091508.2465,11.529530163193,Switzerland,,
464,Red Cat Holdings,RCAT,2469476637.0935,20.687384796143,United States,RCAT,0000748268
465,BigBear.ai,BBAI,2455997310.672,5.1590445995331,United States,BBAI,0001836981
466,Qifu Technology,QFIN,2455718584.0063,17.781421709061,China,,
467,Alkami Technology,ALKT,2455470826.9702,23.132490301132,United States,ALKT,0001529274
468,Veeco,VECO,2432219517.3431,40.273832035065,United States,VECO,0000103145
469,Appian,APPN,2381209588.0408,32.196022748947,United States,APPN,0001441683
470,Digi International,DGII,2375637184.9139,63.163091945648,United States,DGII,0000854775
471,Rumble,RUM,2368225611.8311,6.9768717288971,United States,RUM,0000098544
471,Rumble,RUM,2368225611.8311,6.9768717288971,United States,RUM,0001830081
472,PEXA Group,PXA.AX,2353775460.7493,13.378567592144,Australia,,
473,Siltronic,WAF.F,2346543328.9669,78.218157008648,Germany,,
474,ZoomInfo,GTM,2344955949.8309,7.6809597015381,United States,GTM,0000895040
474,ZoomInfo,GTM,2344955949.8309,7.6809597015381,United States,GTM,0001794515
475,LiveRamp,RAMP,2326273889.5111,36.548566579819,United States,RAMP,0000733269
476,SUNeVision,1686.HK,2324007461.051,0.98441099774837,Hong Kong,,
477,SPACE42,SPACE42.AE,2323866936.6131,0.48646078109741,United Arab Emirates,,
478,Bitdeer Technologies Group,BTDR,2313482449.3579,9.3963740348816,Singapore,,
479,Semrush,SEMR,2311143341.0968,15.259506607056,United States,SEMR,0001831840
480,DeNA,2432.T,2271544300.5739,20.370929256439,Japan,,
481,Himax,HIMX,2268280718.4039,12.968020296097,Taiwan,,
482,nCino,NCNO,2256537985.282,19.484034442902,United States,NCNO,0001566895
482,nCino,NCNO,2256537985.282,19.484034442902,United States,NCNO,0001902733
483,Marqeta,MQ,2247955792.9755,5.1078382015228,United States,MQ,0001522540
484,Cimpress,CMPR,2208341376.4514,89.508783721924,Ireland,CMPR,0001262976
485,Embracer Group,EMBRAC-B.ST,2186643876.3259,6.7307993832588,Sweden,,
486,DoubleVerify,DV,2148358447.6129,13.262457084656,United States,DV,0000730464
486,DoubleVerify,DV,2148358447.6129,13.262457084656,United States,DV,0001819928
487,Quantum Computing,QUBT,2137152685.2631,9.5179892301559,United States,QUBT,0001429764
487,Quantum Computing,QUBT,2137152685.2631,9.5179892301559,United States,QUBT,0001758009
488,KFin Technologies,KFINTECH.NS,2128440131.7085,12.337067861414,India,,
489,Clarivate,CLVT,2124309137.4792,3.3156142711639,United Kingdom,CLVT,0001764046
490,Revolve,RVLV,2088527253.573,29.238853263855,United States,RVLV,0001746618
491,LendingClub,LC,2085648552.7722,18.088660097122,United States,LC,0000059229
491,LendingClub,LC,2085648552.7722,18.088660097122,United States,LC,0001409970
492,ANI Pharmaceuticals,ANIP,2084090895.1099,92.798794794083,United States,ANIP,0001023024
493,Asana,ASAN,2079152632.016,8.769095659256,United States,ASAN,0001477720
494,Omnicell,OMCL,2041600071.8317,44.933614253998,United States,OMCL,0000926326
495,Kontron AG,KTN.F,2028354782.9721,32.963350623131,Austria,,
496,Payoneer,PAYO,2021411642.1777,5.6711085796356,United States,PAYO,0001845815
497,OVH Groupe,OVH.PA,2018988746.1677,13.423501206398,France,,
498,Atoss,AOF.F,1983681866.8912,123.64936943531,Germany,,
499,GigaCloud Technology,GCT,1965853765.4297,53.049828338623,China,GCT,0001293200
499,GigaCloud Technology,GCT,1965853765.4297,53.049828338623,China,GCT,0001857816
500,Progress Software,PRGS,1960399997.2858,45.688908624649,United States,PRGS,0000876167
501,Formosa Sumco Technology,3532.TW,1955610789.6157,5.0422044008732,Taiwan,,
502,Flywire,FLYW,1952711663.8629,15.989197778702,United States,FLYW,0001580560
503,A10 Networks,ATEN,1933758086.7383,26.960168552399,United States,ATEN,0001580808
504,One Software Technologies,ONE.TA,1928564207.7063,26.186439878464,Israel,,
505,Tuya Inc.,TUYA,1922043046.0364,3.1491934776306,China,,
506,Yelp,YELP,1893205896.7236,30.787846803665,United States,YELP,0001345016
507,Sprinklr,CXM,1856890646.9757,7.5273405075073,United States,CXM,0000772320
507,Sprinklr,CXM,1856890646.9757,7.5273405075073,United States,CXM,0001569345
508,Zip Co,ZIP.AX,1855788002.9653,1.46047047925,Australia,,
509,momo.com Inc.,8454.TW,1850336862.9897,6.9830549014568,Taiwan,,
510,Arlo Technologies,ARLO,1848060206.0516,17.294960927963,United States,ARLO,0001736946
511,Ichor Systems,ICHR,1846745881.1926,53.305860328674,United States,ICHR,0001652535
512,MaxLinear,MXL,1845544783.9209,21.12263917923,United States,MXL,0001288469
513,secunet,YSN.F,1844094837.6366,283.17266115665,Germany,,
514,Karooooo,KARO,1843744776.618,59.681056880951,Singapore,,
515,Ouster,OUST,1813804846.3177,28.880408477783,United States,OUST,0001816581
516,Phoenix Group,PHX.AE,1809091972.0252,0.29443678855896,United Arab Emirates,,
517,Playtech,PTEC.L,1780133832.2352,6.2989886304379,Isle of Man,,
518,IndiaMART,INDIAMART.NS,1747154361.838,29.085362085819,India,,
519,Terveystalo,TTALO.HE,1746712184.3499,13.791035128117,Finland,,
520,Bitfarms,BITF,1712924637.3071,2.8419550895691,Canada,,
521,SkyWater Technology,SKYT,1703123323.0768,35.025176239014,United States,SKYT,0000756502
521,SkyWater Technology,SKYT,1703123323.0768,35.025176239014,United States,SKYT,0001819974
522,Paradox Interactive,PDX.ST,1701390712.3548,16.108124638081,Sweden,,
523,ChipMOS Technologies,IMOS,1698894739.6942,48.748490905762,Taiwan,,
524,u-blox,UBXN.SW,1696279582.8621,219.70361098289,Switzerland,,
525,Protolabs,PRLB,1680980693.4143,70.703234052658,United States,PRLB,0001443669
526,UP Fintech (Tiger Brokers),TIGR,1673556339.2145,9.4091756343842,China,TIGR,0000820738
526,UP Fintech (Tiger Brokers),TIGR,1673556339.2145,9.4091756343842,China,TIGR,0001065581
527,Opera,OPRA,1659485312.6227,18.511112880707,Norway,,
528,Cohu,COHU,1649474748.5675,35.178795433044,United States,COHU,0000021535
529,Donnelley Financial Solutions,DFIN,1647288358.2678,62.07495598793,United States,DFIN,0001669811
530,Planisware,PLNW.PA,1643012423.0489,23.553662924767,France,,
531,Koh Young Technology,098460.KQ,1641881499.025,24.879524585247,South Korea,,
532,SÜSS MicroTec,SMHN.DE,1638516470.5797,85.716437885284,Germany,,
533,PDF Solutions,PDFS,1632595481.1786,40.926713609695,United States,PDFS,0001120914
534,Genius Sports,GENI,1630160186.8195,6.6184269428253,United Kingdom,,
535,Five9,FIVN,1627097142.9858,20.802599191666,United States,FIVN,0001288847
536,C3 AI,AI,1598256061.0217,11.355018758774,United States,AI,0001209028
536,C3 AI,AI,1598256061.0217,11.355018758774,United States,AI,0001577526
537,iQIYI,IQ,1590236237.8607,1.6514063358307,China,,
538,BitGo,BTGO,1583427835.1813,13.697711467743,United States,BTGO,0001740604
539,Lightspeed POS,LSPD,1566085498.0939,11.406225156784,Canada,,
540,TOWA Corporation,6315.T,1551861720.2565,20.684184396267,Japan,,
541,Hemnet Group AB,HEM.ST,1544145754.5811,16.598809947014,Sweden,,
542,Kainos Group,KNOS.L,1526254906.0797,12.989526983261,United Kingdom,,
543,The RealReal,REAL,1518600863.0212,12.763194704056,United States,REAL,0000034285
543,The RealReal,REAL,1518600863.0212,12.763194704056,United States,REAL,0001573221
544,Youdao,DAO,1486287905.3418,12.430353116989,China,,
545,Aehr Test Systems,AEHR,1476177386.3977,48.198022127151,United States,AEHR,0000104047
545,Aehr Test Systems,AEHR,1476177386.3977,48.198022127151,United States,AEHR,0001040470
546,LuxExperience,LUXE,1460206725.3351,10.63812918663,Germany,,
547,POET Technologies,POET,1454480948.8049,9.5243900299072,Canada,,
548,PROG Holdings,PRG,1448465630.8179,36.599772977829,United States,PRG,0000928953
548,PROG Holdings,PRG,1448465630.8179,36.599772977829,United States,PRG,0001808834
549,Money Forward,3994.T,1428788136.043,25.833115732193,Japan,,
550,Frequentis,FQT.VI,1421009429.7284,107.03532558489,Austria,,
551,LegalZoom,LZ,1397915166.2836,7.8857852935791,United States,LZ,0000060751
551,LegalZoom,LZ,1397915166.2836,7.8857852935791,United States,LZ,0001286139
552,Allient,ALNT,1385798667.4213,81.789419221878,United States,ALNT,0000046129
553,Mixi,2121.T,1384325890.7644,21.262560661793,Japan,,
554,Playtika,PLTK,1349991876.723,3.5588446617126,Israel,PLTK,0001828016
555,Harmonic Inc.,HLIT,1346246845.5981,11.995098733902,United States,HLIT,0000851310
556,Certara,CERT,1337553637.8207,8.3978492736816,United States,CERT,0001827090
557,Lightwave Logic,LWLG,1318115197.5546,9.0635324478149,United States,LWLG,0001325964
558,Yalla Group,YALA,1307715956.456,8.2314284801483,United Arab Emirates,,
559,Coursera,COUR,1289217256.0062,7.6169517040253,United States,COUR,0001651562
560,Vitec Software Group,VIT-B.ST,1273432064.5171,32.052772850513,Sweden,,
561,Megaport Limited,MP1.AX,1270113956.4944,6.9056564308643,Australia,,
562,Amplitude,AMPL,1266817447.3303,9.473183631897,United States,AMPL,0000731859
562,Amplitude,AMPL,1266817447.3303,9.473183631897,United States,AMPL,0001866692
563,Ituran,ITRN,1258832034.8688,63.278306341171,Israel,,
564,Bytes Technology,BYIT.L,1227331455.1723,5.1924183694363,United Kingdom,,
565,Teladoc Health,TDOC,1224095253.0634,6.861657333374,United States,TDOC,0001477449
566,Nazara Technologies,NAZARA.NS,1208097236.2628,3.261028250885,India,,
567,Trainline,TRN.L,1195851463.0082,3.1767425197601,United Kingdom,,
568,Penguin Solutions,PENG,1195661774.0274,22.748442316055,United States,PENG,0000318107
568,Penguin Solutions,PENG,1195661774.0274,22.748442316055,United States,PENG,0001616533
569,NCR Voyix Corporation,VYX,1194089942.4341,8.5898732662201,United States,VYX,0000070866
570,Newegg,NEGG,1183395342.8317,56.442252206802,United States,NEGG,0001474627
571,Aeva Technologies,AEVA,1176751947.6492,19.586447238922,United States,AEVA,0001789029
572,Criteo,CRTO,1175412224.4168,22.978871107101,France,CRTO,0000811640
572,Criteo,CRTO,1175412224.4168,22.978871107101,France,CRTO,0001576427
573,Jumia,JMIA,1171693001.3165,9.4603820323944,Germany,,
574,Iress Limited,IRE.AX,1161923113.7328,6.2204892222881,Australia,,
575,Liquidity Services,LQDT,1160113637.0868,37.40627374649,United States,LQDT,0001235468
576,Pagaya Technologies,PGY,1152609155.1154,13.966545057297,Israel,PGY,0001883085
577,N-Able,NABL,1150294216.2741,6.1063629627228,United States,NABL,0001834488
578,Schrödinger,SDGR,1149216587.8693,15.566744995117,United States,SDGR,0000773717
578,Schrödinger,SDGR,1149216587.8693,15.566744995117,United States,SDGR,0001490978
579,Taboola.com,TBLA,1143813206.821,3.9684958457947,United States,TBLA,0001840502
580,GungHo Online Entertainment,3765.T,1127232014.4352,20.892978484154,Japan,,
581,Trustpilot Group,TRST.L,1113149818.4478,2.8617847671986,Denmark,,
582,Talkspace,TALK,1104081220.4071,6.5928237438202,United States,TALK,0000948545
582,Talkspace,TALK,1104081220.4071,6.5928237438202,United States,TALK,0001373444
582,Talkspace,TALK,1104081220.4071,6.5928237438202,United States,TALK,0001803901
583,BlackSky Technology,BKSY,1102605411.0513,30.634227609634,United States,BKSY,0001353633
583,BlackSky Technology,BKSY,1102605411.0513,30.634227609634,United States,BKSY,0001753539
584,innoscripta SE,1INN.DE,1095347606.9412,109.53470987177,Germany,,
585,Magic Software,MGIC,1092419188.5684,22.249179935455,Israel,,
586,Bukalapak.com,BUKA.JK,1060178914.5305,0.010278161010218,Indonesia,,
587,TeamViewer,TMV.DE,1056057978.518,6.7279318249702,Germany,,
588,Northern Data AG,NB2.DE,1051500956.0184,15.570073410988,Germany,,
589,PSI Software,PSAN.DE,1045637208.9694,67.04415286684,Germany,,
590,Viant Technology,DSP,1022245940.7352,16.13001537323,United States,DSP,0001393718
590,Viant Technology,DSP,1022245940.7352,16.13001537323,United States,DSP,0001828791
591,HelloFresh,HFG.DE,1021298838.719,7.1249094255447,Germany,,
592,Wiit S.p.A.,WIIT.MI,1011135518.2976,40.946940136909,Italy,,
593,RPMGlobal Holdings Limited,RUL.AX,996473996.16604,4.4985844779968,Australia,,
594,ODDITY Tech,ODD,985314575.60638,17.154143333435,Israel,,
595,Nagarro,NA9.DE,980189187.6921,74.615914924622,Germany,,
596,Wolfspeed,WOLF,979520633.1192,21.72431435585,United States,WOLF,0000895419
596,Wolfspeed,WOLF,979520633.1192,21.72431435585,United States,WOLF,0001294538
